No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
3122;202100161036;42296;42296-050-190721;10218464489;TORRES BARRIOS SANTIAGO;AV. CENTENARIO 1266;ICA;CHINCHA;GROCIO PRADO;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:1500:Diesel B5 S-50 C2:1500:GASOHOL 90 PLUS;C1:1500:GASOHOL 95 PLUS C2:1500:GASOHOL 84 PLUS;nan;nan;nan;nan;nan;nan;nan;nan;6000.0;19/07/2021;INDEFINIDO;TORRES BARRIOS, SANTIAGO;0
3123;202100218074;110190;110190-050-211021;20440233938;ESTACION DE SERVICIOS YESSENIA S.A.C.;CARRETERA HUAMACHUCO-CAJABAMBA KM 7+040 CASERIO SAUSACOCHA;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;ESTACIONES DE SERVICIOS;C1:10000:Diesel B5 S-50;C1:10000:Diesel B5 S-50;C1:3000:GASOHOL 90 PLUS;C1:3000:GASOHOL 90 PLUS;C1:3000:GASOHOL 95 PLUS;nan;nan;nan;nan;nan;29000.0;21/10/2021;INDEFINIDO;TOMAS GRAUS VILLANUEVA;720
3124;202300159178;21191;21191-050-240723;20610076417;GRUPO PURITA CALIDAD E.I.R.L.;CARRETERA FEDERICO BASADRE KM. 212;UCAYALI;PADRE ABAD;PADRE ABAD;ESTACIONES DE SERVICIOS;C1:4750:DIESEL B5;C1:5000:DIESEL B5;C1:8700:GASOLINA REGULAR;C1:4000:GASOLINA REGULAR;nan;nan;nan;nan;nan;nan;22450.0;24/07/2023;INDEFINIDO;PURIS VASQUEZ KENYI ALFREDO;0
3125;202000043618;137314;137314-050-170320;20605970819;ESTACION DE SERVICIOS A & CH S.A.C.;PREDIO EL TAMBO, CASERIO JOLLUCO;LA LIBERTAD;GRAN CHIMU;CASCAS;ESTACIONES DE SERVICIOS;C1:3900:Diesel B5 S-50;C1:1300:GASOHOL 90 PLUS;C1:1300:GASOHOL 95 PLUS;nan;nan;nan;nan;nan;nan;nan;6500.0;17/03/2020;INDEFINIDO;KARIN VICTORIA CHIGNE FLORES;720
3126;201800098335;16654;16654-050-140618;20531609485;GRIFO LA LAGUNA S.A.C.;PANAMERICANA NORTE KM 294 MZ. W LT. 7 AA.HH. LA VICTORIA;ANCASH;HUARMEY;HUARMEY;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3000:Diesel B5 S-50;C1:3000:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;nan;6000.0;14/06/2018;INDEFINIDO;CARMEN TANIA WHU WHU;0
3127;202000043616;92831;92831-050-170320;20605970819;ESTACION DE SERVICIOS A & CH S.A.C.;AV. LIBERTAD S/N;LA LIBERTAD;GRAN CHIMU;CASCAS;ESTACIONES DE SERVICIOS;C1:2600:Diesel B5 S-50;C1:1300:GASOHOL 95 PLUS;C1:1300:GASOHOL 90 PLUS;C1:1300:GASOHOL 90 PLUS;C1:2600:Diesel B5 S-50;nan;nan;nan;nan;nan;9100.0;17/03/2020;INDEFINIDO;KARIN VICTORIA CHIGNE FLORES;720
3128;201600159850;21199;21199-050-071116;20407918330;TECNICA DIESEL TRANS S.A.C.;JR. LEONCIO PRADO N° 500;ANCASH;BOLOGNESI;HUALLANCA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:2500:Diesel B5 S-50;C1:2500:DIESEL B5,GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;nan;5000.0;07/11/2016;INDEFINIDO;ALEJANDRO AUSBERTO MALUQUISH PITA;0
3129;201800126191;127791;127791-050-080818;20502445805;WARI SERVICE SAC;INTERSECCIÓN CARRETERA AYACUCHO - HUANTA Y PROLONGACIÓN JR. MOISES CAVERO;AYACUCHO;HUAMANGA;JESUS NAZARENO;ESTACIONES DE SERVICIOS;C1:1500:GASOHOL 97 PLUS;C1:4000:GASOHOL 95 PLUS;C1:4000:GASOHOL 90 PLUS;C1:7000:Diesel B5 S-50;C1:7000:Diesel B5 S-50;nan;nan;nan;nan;nan;23500.0;08/08/2018;INDEFINIDO;RICHARD ARMANDO PALOMINO ORTIZ;0
3130;202300115019;18301;18301-050-010723;20527495491;SERVICENTRO METROPOLITANO SUR E.I.R.L.;PROLONGACION AV. DE LA CULTURA MZ. L LOTE 4 URB. NACIONES UNIDAS;CUSCO;CUSCO;SAN SEBASTIAN;ESTACIONES DE SERVICIOS;C1:6647:Diesel B5 S-50;C1:6647:GASOHOL REGULAR;C1:3323:GASOHOL REGULAR;C1:6500:Diesel B5 S-50;C1:6500:GASOHOL REGULAR;C1:3250:GASOHOL PREMIUM C2:3250:GASOHOL PREMIUM;nan;nan;nan;nan;36117.0;01/07/2023;INDEFINIDO;MARUJA CENTENO GALLEGOS;0
3131;202300241640;120736;120736-050-031023;20602974660;INVERSIONES DASHITA SOCIEDAD ANONIMA CERRADA;CALLE LIBERTAD N° 710. ESQUINA CON CALLE BOLOGNESI;LORETO;MAYNAS;IQUITOS;ESTACIONES DE SERVICIOS;C1:5000:GASOLINA 84 C2:1400:GASOLINA REGULAR C3:3200:DIESEL B5;nan;nan;nan;nan;nan;nan;nan;nan;nan;9600.0;03/10/2023;INDEFINIDO;PATRICIA KRISS SANDI ESTRADA;720
